Algorithm,ArraySize,ArrayType,ExecutionTime_ms,CharacterComparisons,IsSorted
QuickSort,100,NearlySorted,0.041,3151,true
MergeSort,100,NearlySorted,0.248,504,true
StringQuickSort,100,NearlySorted,0.009,895,true
StringMergeSort,100,NearlySorted,0.241,504,true
MSDRadixSort,100,NearlySorted,0.081,179,true
MSDRadixSortWithQuickSort,100,NearlySorted,0.029,159,true
QuickSort,100,PrefixBased,0.025,1859,true
MergeSort,100,PrefixBased,0.260,1807,true
StringQuickSort,100,PrefixBased,0.009,895,true
StringMergeSort,100,PrefixBased,0.182,1807,true
MSDRadixSort,100,PrefixBased,0.179,612,true
MSDRadixSortWithQuickSort,100,PrefixBased,0.031,718,true
QuickSort,100,Random,0.022,660,true
MergeSort,100,Random,0.225,605,true
StringQuickSort,100,Random,0.007,571,true
StringMergeSort,100,Random,0.216,605,true
MSDRadixSort,100,Random,0.071,171,true
MSDRadixSortWithQuickSort,100,Random,0.031,161,true
QuickSort,100,ReverseSorted,0.040,5013,true
MergeSort,100,ReverseSorted,0.210,363,true
StringQuickSort,100,ReverseSorted,0.014,3316,true
StringMergeSort,100,ReverseSorted,0.180,363,true
MSDRadixSort,100,ReverseSorted,0.062,173,true
MSDRadixSortWithQuickSort,100,ReverseSorted,0.025,163,true
QuickSort,200,NearlySorted,0.051,4914,true
MergeSort,200,NearlySorted,0.392,1303,true
StringQuickSort,200,NearlySorted,0.015,1914,true
StringMergeSort,200,NearlySorted,0.350,1303,true
MSDRadixSort,200,NearlySorted,0.080,392,true
MSDRadixSortWithQuickSort,200,NearlySorted,0.027,418,true
QuickSort,200,PrefixBased,0.034,4312,true
MergeSort,200,PrefixBased,0.246,3747,true
StringQuickSort,200,PrefixBased,0.026,2178,true
StringMergeSort,200,PrefixBased,0.292,3747,true
MSDRadixSort,200,PrefixBased,0.264,1218,true
MSDRadixSortWithQuickSort,200,PrefixBased,0.044,1419,true
QuickSort,200,Random,0.032,1762,true
MergeSort,200,Random,0.337,1481,true
StringQuickSort,200,Random,0.011,1643,true
StringMergeSort,200,Random,0.302,1481,true
MSDRadixSort,200,Random,0.102,393,true
MSDRadixSortWithQuickSort,200,Random,0.040,383,true
QuickSort,200,ReverseSorted,0.083,20176,true
MergeSort,200,ReverseSorted,0.312,909,true
StringQuickSort,200,ReverseSorted,0.022,7290,true
StringMergeSort,200,ReverseSorted,0.311,909,true
MSDRadixSort,200,ReverseSorted,0.107,395,true
MSDRadixSortWithQuickSort,200,ReverseSorted,0.040,474,true
QuickSort,300,NearlySorted,0.053,8075,true
MergeSort,300,NearlySorted,0.406,2245,true
StringQuickSort,300,NearlySorted,0.016,3909,true
StringMergeSort,300,NearlySorted,0.427,2245,true
MSDRadixSort,300,NearlySorted,0.122,616,true
MSDRadixSortWithQuickSort,300,NearlySorted,0.068,740,true
QuickSort,300,PrefixBased,0.042,6339,true
MergeSort,300,PrefixBased,0.383,5841,true
StringQuickSort,300,PrefixBased,0.020,3153,true
StringMergeSort,300,PrefixBased,0.373,5841,true
